artifact_id,release_id,version,timestamp,popularity,all_dependency,compile_dependency,git_url,project_owner,project_name,api_url,mandatory_language,pom_exist,versions
net.cactusthorn.config:jasypt,net.cactusthorn.config:jasypt:0.30,0.30,1621696075000,0,5,2,https://github.com/Gmugra/net.cactusthorn.config,Gmugra,net.cactusthorn.config,https://api.github.com/repos/Gmugra/net.cactusthorn.config/languages,Java,True,"[{'name': '0.30', 'ts': 1621696075000}]"
nl.hsac:hsac-fitnesse-email,nl.hsac:hsac-fitnesse-email:0.5.0,0.5.0,1574153748000,0,4,2,https://github.com/fhoeben/hsac-fitnesse-email.git,fhoeben,hsac-fitnesse-email,https://api.github.com/repos/fhoeben/hsac-fitnesse-email/languages,Java,True,"[{'name': '0.0.1', 'ts': 1512902820000}, {'name': '0.1.0', 'ts': 1513241908000}, {'name': '0.2.0', 'ts': 1522781425000}, {'name': '0.3.0', 'ts': 1555874185000}, {'name': '0.4.0', 'ts': 1573307166000}, {'name': '0.5.0', 'ts': 1574153748000}]"
cz.alry:plantuml-maven-plugin,cz.alry:plantuml-maven-plugin:1.5.0,1.5.0,1539095988000,0,5,4,scm:git:https://github.com/AlesRybak/plantuml-maven-plugin,AlesRybak,plantuml-maven-plugin,https://api.github.com/repos/AlesRybak/plantuml-maven-plugin/languages,Java,True,"[{'name': '1.5.0', 'ts': 1539095988000}]"
com.charlyghislain.authenticator:authenticator-application-api,com.charlyghislain.authenticator:authenticator-application-api:1.0.7,1.0.7,1569793016000,0,4,1,https://github.com/cghislai/authenticator,cghislai,authenticator,https://api.github.com/repos/cghislai/authenticator/languages,Java,True,"[{'name': '1.0.1', 'ts': 1542893592000}, {'name': '1.0.0', 'ts': 1534961819000}, {'name': '1.0.6', 'ts': 1552596109000}, {'name': '1.0.3', 'ts': 1542984289000}, {'name': '1.0.4', 'ts': 1543074277000}, {'name': '1.0.7', 'ts': 1569793016000}]"
media.pepperpot.tca:tomcat-jwt-authenticator,media.pepperpot.tca:tomcat-jwt-authenticator:2.0.1,2.0.1,1684529353000,0,6,1,https://github.com/minfrin/tomcat-jwt-authenticator/tags/tomcat-jwt-authenticator-2.0.1,minfrin,tomcat-jwt-authenticator,https://api.github.com/repos/minfrin/tomcat-jwt-authenticator/languages,Java,True,"[{'name': '2.0.0', 'ts': 1684497379000}, {'name': '2.0.1', 'ts': 1684529353000}]"
rocks.coffeenet:frontpage-plugin-api,rocks.coffeenet:frontpage-plugin-api:0.8.0,0.8.0,1549190568000,0,2,1,https://github.com/coffeenet/coffeenet-frontpage-plugin-api,coffeenet,coffeenet-frontpage-plugin-api,https://api.github.com/repos/coffeenet/coffeenet-frontpage-plugin-api/languages,Java,True,"[{'name': '0.8.0', 'ts': 1549190568000}]"
ch.rasc:wampspring,ch.rasc:wampspring:1.1.2,1.1.2,1512291314000,0,10,4,https://github.com/ralscha/wampspring.git,ralscha,wampspring,https://api.github.com/repos/ralscha/wampspring/languages,Java,True,"[{'name': '1.1.2', 'ts': 1512291314000}, {'name': '1.1.1', 'ts': 1427472554000}, {'name': '1.1.0', 'ts': 1422687719000}, {'name': '1.0.0', 'ts': 1389974366000}, {'name': '1.0.1', 'ts': 1420523729000}]"
com.github.bartlomiej-gora:RPNLibrary,com.github.bartlomiej-gora:RPNLibrary:5.0.0,5.0.0,1624478114000,0,7,4,https://github.com/bartlomiej-gora/RPNLibrary/tree/master,bartlomiej-gora,RPNLibrary,https://api.github.com/repos/bartlomiej-gora/RPNLibrary/languages,Java,True,"[{'name': '3.1.0', 'ts': 1497415507000}, {'name': '3.2.2', 'ts': 1500472816000}, {'name': '3.2.1', 'ts': 1500108207000}, {'name': '3.2.0', 'ts': 1498250878000}, {'name': '5.0.0', 'ts': 1624478114000}, {'name': '4.0.0', 'ts': 1586960287000}]"
be.idamediafoundry.sofa:mapper-api,be.idamediafoundry.sofa:mapper-api:2.0,2.0,1376861555000,0,4,1,scm:git:git@github.com:idamediafoundry/Mapper-API.git,idamediafoundry,Mapper-API,https://api.github.com/repos/idamediafoundry/Mapper-API/languages,Java,True,"[{'name': '2.0', 'ts': 1376861555000}]"
se.sawano.eureka:legacy-registrar,se.sawano.eureka:legacy-registrar:0.0.6,0.0.6,1518081017000,0,7,6,git@github.com:sawano/eureka-legacy-registrar.git,sawano,eureka-legacy-registrar,https://api.github.com/repos/sawano/eureka-legacy-registrar/languages,Java,True,"[{'name': '0.0.6', 'ts': 1518081017000}, {'name': '0.0.4', 'ts': 1449440953000}, {'name': '0.0.5', 'ts': 1450214527000}, {'name': '0.0.1', 'ts': 1449349436000}, {'name': '0.0.2', 'ts': 1449353804000}, {'name': '0.0.3', 'ts': 1449392596000}]"
io.split.integrations.azure:azure-spring-cloud-feature-management,io.split.integrations.azure:azure-spring-cloud-feature-management:2.3.0,2.3.0,1648488126000,0,7,5,git@github.com:splitio/azure-sdk-for-java.git,splitio,azure-sdk-for-java,https://api.github.com/repos/splitio/azure-sdk-for-java/languages,Java,True,"[{'name': '2.3.0', 'ts': 1648488126000}]"
io.probedock.rt.client:probedock-rt-itf,io.probedock.rt.client:probedock-rt-itf:0.1.0,0.1.0,1438933176000,0,11,4,git@github.com:probedock/probedock-rt-itf.git,probedock,probedock-rt-itf,https://api.github.com/repos/probedock/probedock-rt-itf/languages,Java,True,"[{'name': '0.1.0', 'ts': 1438933176000}]"
org.ibboost.orqa:orqa-maven-plugin,org.ibboost.orqa:orqa-maven-plugin:1.0.0,1.0.0,1495550654000,0,2,1,https://github.com/ibboost/orqa-maven-plugin,ibboost,orqa-maven-plugin,https://api.github.com/repos/ibboost/orqa-maven-plugin/languages,Java,True,"[{'name': '1.0.0', 'ts': 1495550654000}]"
com.github.usc:wechat-mp-sdk,com.github.usc:wechat-mp-sdk:1.0.0,1.0.0,1372694723000,0,3,2,https://github.com/usc/wechat-mp-sdk,usc,wechat-mp-sdk,https://api.github.com/repos/usc/wechat-mp-sdk/languages,Java,True,"[{'name': '1.0.0', 'ts': 1372694723000}]"
org.jmdware:s3-bucket-recursor,org.jmdware:s3-bucket-recursor:1.0.1,1.0.1,1556228636000,0,9,2,https://github.com/jmdware/s3-bucket-recursor/tree/master,jmdware,s3-bucket-recursor,https://api.github.com/repos/jmdware/s3-bucket-recursor/languages,Java,True,"[{'name': '1.0.1', 'ts': 1556228636000}, {'name': '1.0.0', 'ts': 1556028689000}]"
sh.joinery:joinery-dataframe,sh.joinery:joinery-dataframe:1.10,1.10,1622777895000,12,9,7,git@github.com:cardillo/joinery.git,cardillo,joinery,https://api.github.com/repos/cardillo/joinery/languages,Java,True,"[{'name': '1.10', 'ts': 1622777895000}]"
org.graphfoundation.ongdb:ongdb-geequel-slotted-runtime,org.graphfoundation.ongdb:ongdb-geequel-slotted-runtime:1.0.5,1.0.5,1698421821000,2,33,10,https://github.com/graphfoundation/ongdb,graphfoundation,ongdb,https://api.github.com/repos/graphfoundation/ongdb/languages,Java,True,"[{'name': '1.0.5', 'ts': 1698421821000}, {'name': '1.0.0-beta01', 'ts': 1617039481000}, {'name': '1.0.4', 'ts': 1659715013000}, {'name': '1.0.3', 'ts': 1656695753000}, {'name': '1.0.2', 'ts': 1655239311000}, {'name': '1.0.0', 'ts': 1625087735000}, {'name': '1.0.1', 'ts': 1649372173000}]"
org.slieb:html-exception-formatter,org.slieb:html-exception-formatter:1.3,1.3,1480507185000,0,4,4,https://github.com/StefanLiebenberg/html-exception-formatter,StefanLiebenberg,html-exception-formatter,https://api.github.com/repos/StefanLiebenberg/html-exception-formatter/languages,Java,True,"[{'name': '1.2', 'ts': 1479344420000}, {'name': '1.0', 'ts': 1478937995000}, {'name': '1.1', 'ts': 1479124715000}, {'name': '1.3', 'ts': 1480507185000}]"
org.sentrysoftware.maven:maven-skin-tools,org.sentrysoftware.maven:maven-skin-tools:1.3.00,1.3.00,1703858855000,0,7,5,https://github.com/sentrysoftware/maven-skin-tools,sentrysoftware,maven-skin-tools,https://api.github.com/repos/sentrysoftware/maven-skin-tools/languages,Java,True,"[{'name': '1.3.00', 'ts': 1703858855000}, {'name': '1.2.00', 'ts': 1699484014000}, {'name': '1.1.00', 'ts': 1698778175000}, {'name': '1.0.00', 'ts': 1698768786000}]"
com.qualizeal.community:layouts,com.qualizeal.community:layouts:1.0.0,1.0.0,1645797067000,0,3,3,https://github.com/QualiZeal-Community/layouts.git,QualiZeal-Community,layouts,https://api.github.com/repos/QualiZeal-Community/layouts/languages,Java,True,"[{'name': '1.0.0', 'ts': 1645797067000}]"
de.jpdigital:hibernate6-ddl-maven-plugin-core,de.jpdigital:hibernate6-ddl-maven-plugin-core:1.0.2,1.0.2,1716829449000,3,13,6,https://github.com/jpdigital/hibernate6-ddl-maven-plugin,jpdigital,hibernate6-ddl-maven-plugin,https://api.github.com/repos/jpdigital/hibernate6-ddl-maven-plugin/languages,Java,True,"[{'name': '1.0.2', 'ts': 1716829449000}]"
com.datadoghq:java-dogstatsd-client,com.datadoghq:java-dogstatsd-client:4.4.2,4.4.2,1717497488000,33,6,1,https://github.com/DataDog/java-dogstatsd-client,DataDog,java-dogstatsd-client,https://api.github.com/repos/DataDog/java-dogstatsd-client/languages,Java,True,"[{'name': '2.8.1', 'ts': 1570177304000}, {'name': '4.4.0', 'ts': 1716550602000}, {'name': '4.3.0', 'ts': 1706175769000}, {'name': '2.6.1', 'ts': 1530888462000}, {'name': '4.4.1', 'ts': 1717060689000}, {'name': '2.1.0', 'ts': 1426199193000}, {'name': '2.1.1', 'ts': 1430175452000}, {'name': '4.4.2', 'ts': 1717497488000}, {'name': '2.9.0', 'ts': 1582230276000}, {'name': '3.0.1', 'ts': 1639493973000}, {'name': '3.0.0', 'ts': 1635883592000}, {'name': '4.2.0', 'ts': 1674484227000}, {'name': '4.1.0', 'ts': 1665054852000}, {'name': '4.0.0', 'ts': 1641913091000}, {'name': '2.6', 'ts': 1530287718000}, {'name': '2.7', 'ts': 1548183980000}, {'name': '2.2', 'ts': 1468338987000}, {'name': '2.3', 'ts': 1477063578000}, {'name': '2.8', 'ts': 1560876359000}, {'name': '2.4', 'ts': 1513066066000}, {'name': '2.5', 'ts': 1516693372000}, {'name': '2.10.5', 'ts': 1605798763000}, {'name': '2.10.4', 'ts': 1605200544000}, {'name': '2.10.1', 'ts': 1590526158000}, {'name': '2.10.3', 'ts': 1595011694000}, {'name': '2.10.2', 'ts': 1594139389000}, {'name': '2.10.0', 'ts': 1588641301000}, {'name': '2.11.0', 'ts': 1608636275000}, {'name': '2.13.1', 'ts': 1683022993000}, {'name': '2.13.0', 'ts': 1623267313000}]"
com.squareup.pagerduty:pagerduty-incidents,com.squareup.pagerduty:pagerduty-incidents:2.0.0,2.0.0,1458181265000,2,7,3,http://github.com/square/pagerduty-incidents/,square,pagerduty-incidents,https://api.github.com/repos/square/pagerduty-incidents/languages,Java,True,"[{'name': '1.1.0', 'ts': 1443029646000}, {'name': '1.1.1', 'ts': 1443031154000}, {'name': '1.0.1', 'ts': 1415085517000}, {'name': '1.0.0', 'ts': 1407995756000}, {'name': '2.0.0', 'ts': 1458181265000}, {'name': '2.0.0-beta1', 'ts': 1443035854000}]"
de.enlightened:sql-enum-generator-maven-plugin,de.enlightened:sql-enum-generator-maven-plugin:0.4.0,0.4.0,1500360955000,0,15,7,https://github.com/McNetic/sqlenumgen-maven-plugin/tree/master,McNetic,sqlenumgen-maven-plugin,https://api.github.com/repos/McNetic/sqlenumgen-maven-plugin/languages,Java,True,"[{'name': '0.4.0', 'ts': 1500360955000}]"
com.qdesrame:openapi-diff,com.qdesrame:openapi-diff:1.2.0,1.2.0,1523981532000,0,10,9,https://github.com/quen2404/openapi-diff,quen2404,openapi-diff,https://api.github.com/repos/quen2404/openapi-diff/languages,Java,True,"[{'name': '1.2.0', 'ts': 1523981532000}, {'name': '1.1.0', 'ts': 1517494374000}, {'name': '1.1.1', 'ts': 1518205270000}]"
ru.r2cloud:rotctrldClient,ru.r2cloud:rotctrldClient:1.1,1.1,1591122017000,0,3,1,https://github.com/dernasherbrezon/rotctrldClient,dernasherbrezon,rotctrldClient,https://api.github.com/repos/dernasherbrezon/rotctrldClient/languages,Java,True,"[{'name': '1.1', 'ts': 1591122017000}]"
uk.co.rgordon:oj-ant,uk.co.rgordon:oj-ant:1.6.0,1.6.0,1674342143000,0,15,3,https://github.com/robjg/oj-ant,robjg,oj-ant,https://api.github.com/repos/robjg/oj-ant/languages,Java,True,"[{'name': '1.6.0', 'ts': 1674342143000}]"
org.eclipse.esmf:esmf-aspect-meta-model-interface,org.eclipse.esmf:esmf-aspect-meta-model-interface:2.9.5,2.9.5,1723637498000,1,6,6,https://github.com/eclipse-esmf/esmf-sdk/core/esmf-aspect-meta-model-interface,eclipse-esmf,esmf-sdk,https://api.github.com/repos/eclipse-esmf/esmf-sdk/languages,Java,True,"[{'name': '2.7.0', 'ts': 1713449302000}, {'name': '2.2.2', 'ts': 1687330130000}, {'name': '2.2.3', 'ts': 1689848750000}, {'name': '2.2.0', 'ts': 1679497000000}, {'name': '2.2.1', 'ts': 1680158356000}, {'name': '2.3.1', 'ts': 1690817692000}, {'name': '2.3.2', 'ts': 1693557991000}, {'name': '2.3.0', 'ts': 1689951453000}, {'name': '2.4.0', 'ts': 1697788914000}, {'name': '2.4.2', 'ts': 1699433971000}, {'name': '2.4.1', 'ts': 1698215669000}, {'name': '2.5.0', 'ts': 1706005149000}, {'name': '2.5.1', 'ts': 1706524682000}, {'name': '2.6.0', 'ts': 1708702990000}, {'name': '2.6.1', 'ts': 1711117818000}, {'name': '2.8.1', 'ts': 1718638545000}, {'name': '2.8.0', 'ts': 1718625551000}, {'name': '2.9.3', 'ts': 1721993418000}, {'name': '2.9.2', 'ts': 1721628130000}, {'name': '2.9.5', 'ts': 1723637498000}, {'name': '2.9.1', 'ts': 1720772715000}, {'name': '2.9.4', 'ts': 1722413323000}, {'name': '2.9.0', 'ts': 1720686635000}]"
me.kingjan1999.fhdw:alphacamunda,me.kingjan1999.fhdw:alphacamunda:1.0.4,1.0.4,1590957688000,0,6,3,https://github.com/kingjan1999/alpha-camunda,kingjan1999,alpha-camunda,https://api.github.com/repos/kingjan1999/alpha-camunda/languages,Java,True,"[{'name': '1.0.4', 'ts': 1590957688000}]"
at.makubi.maven.plugin:avrohugger-maven-plugin,at.makubi.maven.plugin:avrohugger-maven-plugin:1.7,1.7,1633187005000,0,12,4,https://github.com/makubi/avrohugger-maven-plugin,makubi,avrohugger-maven-plugin,https://api.github.com/repos/makubi/avrohugger-maven-plugin/languages,Java,True,"[{'name': '1.7', 'ts': 1633187005000}, {'name': '1.5', 'ts': 1510743818000}, {'name': '1.6', 'ts': 1533711921000}, {'name': '1.4', 'ts': 1505657426000}]"
org.antframework.sync:sync,org.antframework.sync:sync:1.2.0,1.2.0,1664520195000,0,10,4,https://github.com/zhongxunking/sync,zhongxunking,sync,https://api.github.com/repos/zhongxunking/sync/languages,Java,True,"[{'name': '1.1.0', 'ts': 1591756803000}, {'name': '1.2.0', 'ts': 1664520195000}, {'name': '1.0.0', 'ts': 1591616868000}]"
de.flapdoodle.reverse:de.flapdoodle.reverse,de.flapdoodle.reverse:de.flapdoodle.reverse:1.8.0,1.8.0,1724350034000,1,9,2,git@github.com:flapdoodle-oss/de.flapdoodle.reverse.git,flapdoodle-oss,de.flapdoodle.reverse,https://api.github.com/repos/flapdoodle-oss/de.flapdoodle.reverse/languages,Java,True,"[{'name': '1.7.0', 'ts': 1699634445000}, {'name': '1.7.3', 'ts': 1721970599000}, {'name': '1.8.0', 'ts': 1724350034000}, {'name': '1.7.2', 'ts': 1700393731000}, {'name': '1.6.0', 'ts': 1692430690000}, {'name': '1.5.2', 'ts': 1676208776000}, {'name': '1.7.1', 'ts': 1700314025000}, {'name': '1.5.3', 'ts': 1689512195000}, {'name': '1.5.1', 'ts': 1674170364000}, {'name': '1.5.0', 'ts': 1671035910000}, {'name': '1.4.0', 'ts': 1641136832000}, {'name': '1.4.1', 'ts': 1650796156000}, {'name': '1.4.2', 'ts': 1661073913000}, {'name': '1.3.0', 'ts': 1640783710000}, {'name': '1.2.0', 'ts': 1639329641000}, {'name': '1.2.2', 'ts': 1640757387000}, {'name': '1.2.1', 'ts': 1640735064000}, {'name': '1.1.0', 'ts': 1637512180000}, {'name': '1.1.1', 'ts': 1638042353000}, {'name': '1.1.2', 'ts': 1638042949000}, {'name': '1.0.0', 'ts': 1636649778000}]"
com.carrotgarden.maven:carrot-maven-imgscalr-plugin,com.carrotgarden.maven:carrot-maven-imgscalr-plugin:1.1.1,1.1.1,1329783817000,0,5,3,https://github.com/carrot-garden/carrot-maven,carrot-garden,carrot-maven,https://api.github.com/repos/carrot-garden/carrot-maven/languages,Java,True,"[{'name': '1.1.1', 'ts': 1329783817000}, {'name': '1.1.0', 'ts': 1329771593000}]"
com.spotify:confidence-openfeature-provider,com.spotify:confidence-openfeature-provider:0.0.2,0.0.2,1695992949000,0,14,9,https://github.com/spotify/confidence-openfeature-provider-java,spotify,confidence-openfeature-provider-java,https://api.github.com/repos/spotify/confidence-openfeature-provider-java/languages,Java,True,"[{'name': '0.0.2', 'ts': 1695992949000}]"
com.microsoft.azure.network.v2019_07_01:azure-mgmt-network,com.microsoft.azure.network.v2019_07_01:azure-mgmt-network:1.0.0-beta,1.0.0-beta,1568690536000,0,6,2,scm:git:https://github.com/Azure/azure-sdk-for-java,Azure,azure-sdk-for-java,https://api.github.com/repos/Azure/azure-sdk-for-java/languages,Java,True,"[{'name': '1.0.0-beta', 'ts': 1568690536000}]"
org.reaktivity:nukleus-auth-jwt.spec,org.reaktivity:nukleus-auth-jwt.spec:0.20,0.20,1557298576000,0,4,1,https://github.com/reaktivity/nukleus-auth-jwt.spec,reaktivity,nukleus-auth-jwt.spec,https://api.github.com/repos/reaktivity/nukleus-auth-jwt.spec/languages,Java,True,"[{'name': '0.20', 'ts': 1557298576000}, {'name': '0.15', 'ts': 1545427227000}, {'name': '0.17', 'ts': 1547948238000}, {'name': '0.13', 'ts': 1544055582000}, {'name': '0.18', 'ts': 1549414605000}, {'name': '0.14', 'ts': 1544675328000}, {'name': '0.16', 'ts': 1545842203000}, {'name': '0.10', 'ts': 1522730960000}, {'name': '0.12', 'ts': 1542318167000}, {'name': '0.11', 'ts': 1532984360000}, {'name': '0.19', 'ts': 1553837650000}, {'name': '0.7', 'ts': 1520753328000}, {'name': '0.9', 'ts': 1522649636000}, {'name': '0.6', 'ts': 1516764731000}, {'name': '0.3', 'ts': 1513233648000}, {'name': '0.2', 'ts': 1510187887000}, {'name': '0.8', 'ts': 1522564521000}, {'name': '0.5', 'ts': 1516553131000}, {'name': '0.4', 'ts': 1516437760000}, {'name': '0.1', 'ts': 1508722457000}]"
ru.greatbit:transitive-dependency-maven-plugin,ru.greatbit:transitive-dependency-maven-plugin:1.1,1.1,1484991194000,0,4,3,scm:git:git@github.com:azee/transitive-dependency-plugin.git,azee,transitive-dependency-plugin,https://api.github.com/repos/azee/transitive-dependency-plugin/languages,Java,True,"[{'name': '1.1', 'ts': 1484991194000}]"
