"",artifact_id,release_id,version,timestamp,popularity,all_dependency,compile_dependency,provided_dependency,dependency,num_use_import,num_unused_import,num_import_but_unused,num_use_import_in_file,num_unused_import_in_file,avg_use_import_in_each_file,avg_unused_import_in_each_file,num_files
43,com.tobedevoured.naether:naether,com.tobedevoured.naether:naether:0.9.0,0.9.0,1347473455000,0,14,13,0,"[""org.sonatype.aether:aether-util:1.13.1:compile"",""junit:junit:4.10:test"",""org.apache.maven.wagon:wagon-file:1.0:compile"",""org.apache.maven.wagon:wagon-ssh:1.0:compile"",""org.sonatype.aether:aether-connector-wagon:1.13.1:compile"",""org.apache.maven.wagon:wagon-http-lightweight:1.0:compile"",""org.sonatype.aether:aether-connector-file:1.13.1:compile"",""org.slf4j:log4j-over-slf4j:1.6.6:compile"",""org.sonatype.aether:aether-api:1.13.1:compile"",""org.sonatype.aether:aether-connector-asynchttpclient:1.13.1:compile"",""org.apache.maven:maven-aether-provider:3.0.3:compile"",""org.sonatype.aether:aether-impl:1.13.1:compile"",""org.slf4j:jcl-over-slf4j:1.6.6:compile"",""ch.qos.logback:logback-classic:1.0.6:compile""]",9,5,0,164,1,7.130435,0.043478,23
95,org.codelibs.fess:fess-ds-salesforce,org.codelibs.fess:fess-ds-salesforce:14.10.0,14.10.0,1691309393000,0,12,6,4,"[""com.force.api:force-wsc:47.0.0:compile"",""org.dbflute.utflute:utflute-lastaflute:0.9.5:test"",""org.codelibs.fess:fess:14.10.0:provided"",""org.codelibs:corelib:0.5.5:compile"",""org.lastaflute:lastaflute:1.2.5:compile"",""javax.servlet:javax.servlet-api:4.0.1:provided"",""com.force.api:force-partner-api:47.0.0:compile"",""org.slf4j:slf4j-api:1.7.36:compile"",""junit:junit:4.13.2:test"",""org.opensearch:opensearch:2.9.0:provided"",""org.dbflute:dbflute-runtime:1.2.6:compile"",""javax.annotation:javax.annotation-api:1.3.2:provided""]",5,5,0,180,0,5.625000,0.000000,32
89,com.phoenixnap.oss:springmvc-raml-parser,com.phoenixnap.oss:springmvc-raml-parser:0.10.14,0.10.14,1519386226000,0,23,18,0,"[""com.google.guava:guava:17.0:compile"",""com.fasterxml.jackson.datatype:jackson-datatype-jsr310:2.8.6:compile"",""org.springframework.security:spring-security-core:4.1.4.RELEASE:compile"",""com.fasterxml.jackson.core:jackson-core:2.8.5:compile"",""org.jsonschema2pojo:jsonschema2pojo-core:0.4.31:compile"",""com.fasterxml.jackson.core:jackson-annotations:2.8.5:compile"",""org.raml:raml-parser-2:1.0.9:compile"",""org.hamcrest:hamcrest-all:1.3:test"",""com.sun.codemodel:codemodel:2.6:compile"",""org.mockito:mockito-core:1.10.19:test"",""org.powermock:powermock-module-junit4:1.6.2:test"",""org.powermock:powermock-api-mockito:1.6.2:test"",""junit:junit:4.12:test"",""org.springframework.cloud:spring-cloud-starter-feign:1.1.6.RELEASE:compile"",""org.reflections:reflections:0.9.10:compile"",""com.fasterxml.jackson.module:jackson-module-jsonSchema:2.8.6:compile"",""org.springframework:spring-webmvc:4.3.5.RELEASE:compile"",""org.raml:raml-parser:0.8.17:compile"",""com.github.javaparser:javaparser-core:2.4.0:compile"",""commons-io:commons-io:2.5:compile"",""org.springframework:spring-web:4.3.5.RELEASE:compile"",""org.springframework:spring-context:4.3.5.RELEASE:compile"",""com.phoenixnap.oss:springmvc-raml-annotations:0.10.14:compile""]",16,4,0,1477,6,8.688235,0.035294,170
88,org.springframework.batch:spring-batch-integration,org.springframework.batch:spring-batch-integration:5.1.2,5.1.2,1716373809000,1,8,7,1,"[""org.springframework.integration:spring-integration-jdbc:6.2.5:compile"",""jakarta.jms:jakarta.jms-api:3.1.0:compile"",""com.google.code.findbugs:jsr305:3.0.2:provided"",""org.springframework:spring-jms:6.1.7:compile"",""org.springframework.integration:spring-integration-core:6.2.5:compile"",""org.springframework.integration:spring-integration-jms:6.2.5:compile"",""org.springframework:spring-messaging:6.1.7:compile"",""org.springframework.batch:spring-batch-core:5.1.2:compile""]",6,4,0,348,5,7.909091,0.113636,44
33,org.zalando:tracer-junit,org.zalando:tracer-junit:0.17.2,0.17.2,1565719617000,0,16,5,4,"[""org.junit.platform:junit-platform-launcher:1.2.0:test"",""org.projectlombok:lombok:1.18.2:provided"",""org.hobsoft.hamcrest:hamcrest-compose:0.4.0:test"",""org.junit.jupiter:junit-jupiter-engine:5.2.0:test"",""com.google.gag:gag:1.0.1:provided"",""org.mockito:mockito-core:2.21.0:test"",""org.zalando:tracer-core:0.17.2:compile"",""org.junit.jupiter:junit-jupiter-api:5.2.0:provided"",""org.apiguardian:apiguardian-api:1.1.0:compile"",""com.google.code.findbugs:jsr305:3.0.2:compile"",""org.hamcrest:java-hamcrest:2.0.0.0:test"",""org.junit.jupiter:junit-jupiter-params:5.2.0:test"",""org.slf4j:slf4j-api:1.7.28:compile"",""junit:junit:4.12:provided"",""org.junit.vintage:junit-vintage-engine:5.2.0:test"",""javax.inject:javax.inject:1:compile""]",5,4,0,13,0,6.500000,0.000000,2
30,com.amazon.opendistroforelasticsearch:opendistro_security_advanced_modules,com.amazon.opendistroforelasticsearch:opendistro_security_advanced_modules:1.3.0.0,1.3.0.0,1576620522000,0,32,15,3,"[""io.jsonwebtoken:jjwt-api:0.10.5:compile"",""commons-io:commons-io:2.6:test"",""junit:junit:4.12:test"",""org.elasticsearch.plugin:reindex-client:7.3.2:test"",""javax.servlet:servlet-api:2.5:test"",""io.jsonwebtoken:jjwt-impl:0.10.5:runtime"",""org.springframework.kafka:spring-kafka-test:2.2.7.RELEASE:test"",""org.elasticsearch.plugin:percolator-client:7.3.2:test"",""org.mockito:mockito-core:2.23.0:test"",""com.amazon.opendistroforelasticsearch:opendistro_security:1.3.0.0:test"",""com.unboundid:unboundid-ldapsdk:4.0.9:test"",""org.hamcrest:hamcrest-all:1.3:test"",""org.apache.cxf:cxf-rt-rs-security-jose:3.2.2:compile"",""org.elasticsearch:elasticsearch-ssl-config:7.3.2:test"",""com.onelogin:java-saml:2.3.0:compile"",""org.opensaml:opensaml-saml-impl:3.3.0:compile"",""org.ldaptive:ldaptive:1.2.3:compile"",""com.flipkart.zjsonpatch:zjsonpatch:0.4.4:compile"",""org.apache.kafka:kafka-clients:2.0.1:test"",""com.google.guava:guava:25.1-jre:compile"",""com.jayway.jsonpath:json-path:2.4.0:compile"",""commons-collections:commons-collections:3.2.2:compile"",""io.jsonwebtoken:jjwt-jackson:0.10.5:runtime"",""com.github.wnameless:json-flattener:0.5.0:compile"",""org.apache.kafka:kafka-clients:2.0.1:compile"",""org.apache.logging.log4j:log4j-core:2.11.1:provided"",""com.fasterxml.jackson.core:jackson-databind:2.9.10.1:compile"",""org.apache.httpcomponents:httpclient-cache:4.5.3:compile"",""org.elasticsearch.client:elasticsearch-rest-high-level-client:7.3.2:compile"",""org.apache.logging.log4j:log4j-slf4j-impl:2.11.1:compile"",""org.elasticsearch:elasticsearch:7.3.2:provided"",""com.amazon.opendistroforelasticsearch:opendistro_security:1.3.0.0:provided""]",16,4,0,1599,10,19.740741,0.123457,81
20,com.hazelcast:hazelcast-wm,com.hazelcast:hazelcast-wm:5.0,5.0,1718189872000,1,24,2,7,"[""com.hazelcast:hazelcast:5.4.0:provided"",""org.apache.tomcat:tomcat-catalina:9.0.89:test"",""org.eclipse.jetty:jetty-webapp:10.0.21:test"",""org.apache.logging.log4j:log4j-slf4j2-impl:2.23.1:test"",""net.bytebuddy:byte-buddy-agent:1.6.12:test"",""org.apache.httpcomponents:httpclient:4.5.13:test"",""org.apache.logging.log4j:log4j-api:2.23.1:compile"",""org.springframework:spring-context:5.3.36:provided"",""org.springframework:spring-core:5.3.36:provided"",""org.assertj:assertj-core:3.24.2:test"",""junit:junit:4.13.1:test"",""net.bytebuddy:byte-buddy:1.6.12:test"",""com.hazelcast:hazelcast:5.4.0:test"",""org.apache.tomcat.embed:tomcat-embed-core:9.0.89:test"",""org.apache.logging.log4j:log4j-core:2.23.1:compile"",""org.apache.tomcat:tomcat-util:9.0.89:test"",""org.eclipse.jetty:apache-jsp:10.0.21:test"",""org.springframework.security:spring-security-config:5.8.12:test"",""org.apache.tomcat:tomcat-jasper:9.0.89:test"",""org.springframework.security:spring-security-web:5.8.12:provided"",""org.springframework:spring-webmvc:5.3.36:test"",""org.springframework:spring-web:5.3.36:provided"",""jakarta.servlet:jakarta.servlet-api:4.0.4:provided"",""jakarta.servlet.jsp:jakarta.servlet.jsp-api:2.3.6:provided""]",5,4,0,285,4,12.954545,0.181818,22
63,com.weibo:filter-opentracing,com.weibo:filter-opentracing:1.2.3,1.2.3,1717040755000,0,17,5,0,"[""junit:junit:4.13.1:test"",""io.zipkin.brave:brave-spancollector-http:3.16.0:test"",""io.opentracing.brave:brave-opentracing:0.16.0:test"",""org.jmock:jmock:2.5.1:test"",""org.objenesis:objenesis:1.2:test"",""io.opentracing:opentracing-mock:0.20.4:test"",""org.jmock:jmock-legacy:2.5.1:test"",""org.slf4j:slf4j-api:1.7.25:compile"",""com.weibo:motan-core:1.2.3:compile"",""cglib:cglib-nodep:2.2:test"",""org.jmock:jmock-junit4:2.5.1:test"",""org.springframework:spring-context:5.3.20:test"",""org.apache.commons:commons-lang3:3.1:compile"",""com.weibo:motan-springsupport:1.2.3:test"",""com.weibo:motan-transport-netty:1.2.3:test"",""io.opentracing:opentracing-impl:0.20.4:compile"",""io.opentracing:opentracing-api:0.20.4:compile""]",2,3,0,27,0,9.000000,0.000000,3
14,org.wso2.carbon.hash.provider.pbkdf2:org.wso2.carbon.hash.provider.pbkdf2,org.wso2.carbon.hash.provider.pbkdf2:org.wso2.carbon.hash.provider.pbkdf2:0.1.1,0.1.1,1625826147000,0,11,6,1,"[""org.wso2.carbon:org.wso2.carbon.utils:4.6.3-m4:compile"",""org.testng:testng:6.9.10:test"",""org.powermock:powermock-api-mockito:1.7.4:test"",""org.jacoco:org.jacoco.agent:0.8.2:test"",""org.powermock:powermock-module-testng:1.7.4:test"",""org.wso2.carbon:org.wso2.carbon.user.core:4.6.3-m4:compile"",""org.eclipse.osgi:org.eclipse.osgi.services:3.3.100.v20130513-1956:compile"",""commons-logging:commons-logging:1.2:compile"",""org.eclipse.osgi:org.eclipse.osgi:3.9.1.v20130814-1242:compile"",""org.ops4j.pax.logging:pax-logging-api:1.11.0:compile"",""org.apache.felix:org.apache.felix.scr.ds-annotations:1.2.10:provided""]",4,3,0,47,1,9.400000,0.200000,5
1,org.eurekaclinical:i2b2-client,org.eurekaclinical:i2b2-client:2.3,2.3,1597331951000,0,6,6,0,"[""javax.xml.bind:jaxb-api:2.3.1:compile"",""com.sun.xml.bind:jaxb-core:2.3.0.1:compile"",""com.sun.xml.bind:jaxb-impl:2.3.1:compile"",""org.freemarker:freemarker:2.3.29:compile"",""org.apache.commons:commons-lang3:3.9:compile"",""org.slf4j:slf4j-api:1.7.29:compile""]",3,3,0,167,0,4.513514,0.000000,37
97,com.github.davidmarquis:redis-scheduler,com.github.davidmarquis:redis-scheduler:3.0.0,3.0.0,1523196258000,0,12,1,6,"[""redis.clients:jedis:2.9.0:provided"",""org.springframework:spring-core:4.3.15.RELEASE:provided"",""org.springframework:spring-test:4.3.15.RELEASE:test"",""org.hamcrest:hamcrest-all:1.3:test"",""junit:junit:4.12:test"",""org.mockito:mockito-all:1.9.5:test"",""com.github.kstyrc:embedded-redis:0.6:test"",""org.springframework.data:spring-data-redis:1.8.11.RELEASE:provided"",""ch.qos.logback:logback-classic:1.2.3:provided"",""org.apache.commons:commons-pool2:2.2:provided"",""io.lettuce:lettuce-core:5.0.3.RELEASE:provided"",""javax.annotation:javax.annotation-api:1.3.1:compile""]",4,3,0,41,0,3.727273,0.000000,11
25,com.divconq:divconq-core,com.divconq:divconq-core:0.9.5,0.9.5,1417108561000,0,16,15,0,"[""net.java.dev.jna:jna-platform:4.1.0:compile"",""net.java.dev.jna:jna:4.1.0:compile"",""org.bouncycastle:bcpg-jdk15on:1.51:compile"",""org.codehaus.groovy:groovy:2.3.7:compile"",""com.fifesoft:rsyntaxtextarea:2.5.3:compile"",""com.googlecode.java-ipv6:java-ipv6:0.15:compile"",""org.apache.commons:commons-compress:1.9:compile"",""org.slf4j:slf4j-api:1.7.7:compile"",""org.bouncycastle:bcpkix-jdk15on:1.51:compile"",""net.contentobjects.jnotify:jnotify:0.94:compile"",""org.bouncycastle:bcprov-ext-jdk15on:1.51:compile"",""com.jcraft:jsch:0.1.51:compile"",""io.netty:netty-all:4.0.24.Final:compile"",""commons-daemon:commons-daemon:1.0.15:compile"",""joda-time:joda-time:2.5:compile"",""junit:junit:3.8.1:test""]",12,3,0,3984,8,6.977233,0.014011,571
