,Unnamed: 0.1,Unnamed: 0,artifact_id,release_id,version,timestamp,popularity,all_dependency,compile_dependency,git_url,project_owner,project_name,api_url,mandatory_language,pom_exist
21,66,102411,com.mariocairone.cucumbersome:mock,com.mariocairone.cucumbersome:mock:1.0.1,1.0.1,1580735941000,0,14,13,https://github.com/mariocairone/cucumbersome/tree/master/mock,mariocairone,cucumbersome,https://api.github.com/repos/mariocairone/cucumbersome/languages,Java,True
23,75,311586,com.bloomscorp:bmx-raintree,com.bloomscorp:bmx-raintree:0.0.13,0.0.13,1692944616000,6,4,4,https://github.com/bloomscorp/bmx-raintree,bloomscorp,bmx-raintree,https://api.github.com/repos/bloomscorp/bmx-raintree/languages,Java,True
25,80,224063,com.github.weibo1987:yurnero-springboot-starter,com.github.weibo1987:yurnero-springboot-starter:1.0,1.0,1554269917000,0,7,6,https://github.com/weibo1987/yurnero-springboot-starter,weibo1987,yurnero-springboot-starter,https://api.github.com/repos/weibo1987/yurnero-springboot-starter/languages,Java,True
26,81,307675,com.geetask:chunked-uploader,com.geetask:chunked-uploader:1.0.2,1.0.2,1531720103000,0,8,5,git@github.com:dungang/chunked-uploader.git,dungang,chunked-uploader,https://api.github.com/repos/dungang/chunked-uploader/languages,Java,True
27,89,12856,net.distilledcode:filevault-oak-reindex-hook,net.distilledcode:filevault-oak-reindex-hook:1.0.2,1.0.2,1440405561000,0,9,3,https://github.com/code-distillery/filevault-oak-reindex-hook,code-distillery,filevault-oak-reindex-hook,https://api.github.com/repos/code-distillery/filevault-oak-reindex-hook/languages,Java,True
28,96,423803,org.java-websocket:Java-WebSocket,org.java-websocket:Java-WebSocket:1.5.7,1.5.7,1720473728000,20,4,1,https://github.com/TooTallNate/Java-WebSocket,TooTallNate,Java-WebSocket,https://api.github.com/repos/TooTallNate/Java-WebSocket/languages,Java,True
29,100,15916,com.github.doobo:openpdf-ivs,com.github.doobo:openpdf-ivs:1.0,1.0,1594174476000,0,1,1,https://github.com/doobo/openpdf-ivs,doobo,openpdf-ivs,https://api.github.com/repos/doobo/openpdf-ivs/languages,Java,True
31,104,252142,com.github.robtimus:obfuscation-json,com.github.robtimus:obfuscation-json:1.3,1.3,1696848086000,0,8,3,https://github.com/robtimus/obfuscation-json,robtimus,obfuscation-json,https://api.github.com/repos/robtimus/obfuscation-json/languages,Java,True
32,110,512008,io.github.pnoker:dc3-common-constant,io.github.pnoker:dc3-common-constant:2024.3.2,2024.3.2,1718107578000,5,10,7,https://github.com/pnoker/iot-dc3,pnoker,iot-dc3,https://api.github.com/repos/pnoker/iot-dc3/languages,Java,True
35,116,543905,com.finbourne:drive-sdk-preview,com.finbourne:drive-sdk-preview:0.1.528,0.1.528,1686320147000,0,21,17,https://github.com/openapitools/openapi-generator,openapitools,openapi-generator,https://api.github.com/repos/openapitools/openapi-generator/languages,Java,True
39,134,362861,org.wso2.carbon.extension.identity.authenticator.outbound.mepin:identity-outbound-auth-mepin,org.wso2.carbon.extension.identity.authenticator.outbound.mepin:identity-outbound-auth-mepin:2.0.1,2.0.1,1548847936000,0,25,10,https://github.com/wso2-extensions/identity-outbound-auth-mepin.git,wso2-extensions,identity-outbound-auth-mepin,https://api.github.com/repos/wso2-extensions/identity-outbound-auth-mepin/languages,Java,True
40,135,57674,com.societegenerale.commons:arch-unit-build-plugin-core,com.societegenerale.commons:arch-unit-build-plugin-core:3.1.1,3.1.1,1706491606000,2,19,11,https://github.com/societe-generale/arch-unit-build-plugin-core,societe-generale,arch-unit-build-plugin-core,https://api.github.com/repos/societe-generale/arch-unit-build-plugin-core/languages,Java,True
43,149,354067,org.jmdns:jmdns,org.jmdns:jmdns:3.5.12,3.5.12,1724398114000,0,5,1,https://github.com/jmdns/jmdns.git,jmdns,jmdns,https://api.github.com/repos/jmdns/jmdns/languages,Java,True
49,171,20812,com.google.cloud:google-cloud-compat-checker,com.google.cloud:google-cloud-compat-checker:0.46.0-alpha,0.46.0-alpha,1524863142000,0,4,4,https://github.com/GoogleCloudPlatform/google-cloud-java/tree/master/google-cloud-util/google-cloud-compat-checker,GoogleCloudPlatform,google-cloud-java,https://api.github.com/repos/GoogleCloudPlatform/google-cloud-java/languages,Java,True
52,181,382042,info.cqframework:cql.ls,info.cqframework:cql.ls:1.1.0,1.1.0,1587760018000,0,10,10,https://github.com/DBCG/cql-language-server,DBCG,cql-language-server,https://api.github.com/repos/DBCG/cql-language-server/languages,Java,True
53,182,605681,io.github.alersrt:plugins.maven.dependent-tracker,io.github.alersrt:plugins.maven.dependent-tracker:0.1.4,0.1.4,1721576495000,0,6,2,https://github.com/alersrt/dependent-tracker/tree/master,alersrt,dependent-tracker,https://api.github.com/repos/alersrt/dependent-tracker/languages,Java,True
54,184,250098,org.nasdanika:plantuml-diagram-generator,org.nasdanika:plantuml-diagram-generator:2024.6.0,2024.6.0,1719155964000,0,4,2,https://github.com/Nasdanika/plantuml-diagram-generator,Nasdanika,plantuml-diagram-generator,https://api.github.com/repos/Nasdanika/plantuml-diagram-generator/languages,Java,True
55,185,347440,com.google.cloud:google-cloud-bigquerymigration,com.google.cloud:google-cloud-bigquerymigration:0.51.0,0.51.0,1724284221000,0,49,40,https://github.com/googleapis/google-cloud-java,googleapis,google-cloud-java,https://api.github.com/repos/googleapis/google-cloud-java/languages,Java,True
56,187,523261,net.officefloor.web:officeservlet_war,net.officefloor.web:officeservlet_war:3.23.0,3.23.0,1587573057000,0,2,2,https://github.com/officefloor/OfficeFloor/officefloor/web/officeservlet_war,officefloor,OfficeFloor,https://api.github.com/repos/officefloor/OfficeFloor/languages,Java,True
57,188,6225,org.springframework.cloud:spring-cloud-starter,org.springframework.cloud:spring-cloud-starter:4.1.4,4.1.4,1720628815000,22,5,5,https://github.com/spring-cloud/spring-cloud-commons/spring-cloud-starter,spring-cloud,spring-cloud-commons,https://api.github.com/repos/spring-cloud/spring-cloud-commons/languages,Java,True
58,195,400674,net.radai:grep-maven-plugin,net.radai:grep-maven-plugin:1.1,1.1,1565536339000,0,4,3,https://github.com/radai-rosenblatt/grep-maven-plugin,radai-rosenblatt,grep-maven-plugin,https://api.github.com/repos/radai-rosenblatt/grep-maven-plugin/languages,Java,True
59,202,71787,com.s24:redjob,com.s24:redjob:0.7.0,0.7.0,1550338074000,0,20,10,https://github.com/adsoul/redjob,adsoul,redjob,https://api.github.com/repos/adsoul/redjob/languages,Java,True
60,203,33457,com.helger.peppol:peppol-smp-datatypes,com.helger.peppol:peppol-smp-datatypes:9.5.1,9.5.1,1723396917000,1,9,7,https://github.com/phax/peppol-commons/peppol-smp-datatypes,phax,peppol-commons,https://api.github.com/repos/phax/peppol-commons/languages,Java,True
61,204,501999,eu.interedition:text,eu.interedition:text:1.1,1.1,1374086901000,0,15,9,git@github.com:interedition/text.git,interedition,text,https://api.github.com/repos/interedition/text/languages,Java,True
62,208,562095,org.honton.chas:readfiles-maven-plugin,org.honton.chas:readfiles-maven-plugin:0.0.1,0.0.1,1519524686000,0,2,1,https://github.com/chonton/readfiles-maven-plugin,chonton,readfiles-maven-plugin,https://api.github.com/repos/chonton/readfiles-maven-plugin/languages,Java,True
64,212,264853,com.bucket4j:bucket4j_jdk8-postgresql,com.bucket4j:bucket4j_jdk8-postgresql:8.10.1,8.10.1,1711040290000,0,2,1,http://github.com/bucket4j/bucket4j/bucket4j_jdk8-postgresql,bucket4j,bucket4j,https://api.github.com/repos/bucket4j/bucket4j/languages,Java,True
65,217,108636,no.ks.fiks:fiks-io-send-klient,no.ks.fiks:fiks-io-send-klient:3.2.2,3.2.2,1697097890000,5,11,5,https://github.com/ks-no/fiks-io-send-klient,ks-no,fiks-io-send-klient,https://api.github.com/repos/ks-no/fiks-io-send-klient/languages,Java,True
67,224,186476,org.fugerit.java.universe:fj-universe-test,org.fugerit.java.universe:fj-universe-test:2.3.4,2.3.4,1721331383000,0,32,30,https://github.com/fugerit-org/fj-universe.git,fugerit-org,fj-universe,https://api.github.com/repos/fugerit-org/fj-universe/languages,Java,True
68,230,442265,com.github.ruiyun.dvr4j:dvr4j,com.github.ruiyun.dvr4j:dvr4j:1.2,1.2,1384332556000,0,2,2,https://github.com/Ruiyun/dvr4j,Ruiyun,dvr4j,https://api.github.com/repos/Ruiyun/dvr4j/languages,Java,True
70,232,63463,org.hibernate:hibernate-tools-maven-plugin,org.hibernate:hibernate-tools-maven-plugin:5.3.36.Final,5.3.36.Final,1708445992000,0,3,2,http://github.com/hibernate/hibernate-tools,hibernate,hibernate-tools,https://api.github.com/repos/hibernate/hibernate-tools/languages,Java,True
71,238,545899,org.sourcelab:kafka-webview-ui,org.sourcelab:kafka-webview-ui:1.0.0,1.0.0,1515213557000,0,17,14,https://github.com/Crim/kafka-webview,Crim,kafka-webview,https://api.github.com/repos/Crim/kafka-webview/languages,Java,True
74,246,199741,io.github.hiskrtapps:apocalypse-dao-springjdbc,io.github.hiskrtapps:apocalypse-dao-springjdbc:0.0.2,0.0.2,1588416267000,0,10,6,https://github.com/hiskrtapps/apocalypse-dao-springjdbc,hiskrtapps,apocalypse-dao-springjdbc,https://api.github.com/repos/hiskrtapps/apocalypse-dao-springjdbc/languages,Java,True
75,249,44842,com.github.chenjunlong:java-ratelimit-client,com.github.chenjunlong:java-ratelimit-client:1.1,1.1,1533295901000,0,9,9,https://github.com/chenjunlong/java-ratelimit-client,chenjunlong,java-ratelimit-client,https://api.github.com/repos/chenjunlong/java-ratelimit-client/languages,Java,True
77,263,35504,com.google.cloud:google-cloud-datacatalog,com.google.cloud:google-cloud-datacatalog:1.54.0,1.54.0,1724284673000,0,51,42,https://github.com/googleapis/google-cloud-java,googleapis,google-cloud-java,https://api.github.com/repos/googleapis/google-cloud-java/languages,Java,True
78,265,551939,net.cactusthorn.config:jasypt,net.cactusthorn.config:jasypt:0.30,0.30,1621696075000,0,5,2,https://github.com/Gmugra/net.cactusthorn.config,Gmugra,net.cactusthorn.config,https://api.github.com/repos/Gmugra/net.cactusthorn.config/languages,Java,True
79,270,65679,org.modeshape:modeshape-parent,org.modeshape:modeshape-parent:5.4.1.Final,5.4.1.Final,1492532039000,0,1,1,http://github.com/ModeShape/modeshape,ModeShape,modeshape,https://api.github.com/repos/ModeShape/modeshape/languages,Java,True
80,275,328393,net.morher.house:house,net.morher.house:house:1.8,1.8,1713987167000,0,6,1,https://github.com/morher/house,morher,house,https://api.github.com/repos/morher/house/languages,Java,True
82,285,520082,io.github.franciscotun2:peternityCertificatej,io.github.franciscotun2:peternityCertificatej:1.0.3,1.0.3,1651866073000,0,6,4,https://github.com/FranciscoTun2/peternity-certificatej,FranciscoTun2,peternity-certificatej,https://api.github.com/repos/FranciscoTun2/peternity-certificatej/languages,Java,True
83,287,129305,com.helger:ph-schematron-ant-task,com.helger:ph-schematron-ant-task:5.6.5,5.6.5,1605783737000,0,7,3,https://github.com/phax/ph-schematron/ph-schematron-ant-task,phax,ph-schematron,https://api.github.com/repos/phax/ph-schematron/languages,Java,True
85,299,421486,com.io7m.bodyrecomp:com.io7m.bodyrecomp.cmdline,com.io7m.bodyrecomp:com.io7m.bodyrecomp.cmdline:0.0.1,0.0.1,1595072775000,0,10,8,https://www.github.com/io7m/waxmill,io7m,waxmill,https://api.github.com/repos/io7m/waxmill/languages,Java,True
87,304,180800,nl.hsac:hsac-fitnesse-email,nl.hsac:hsac-fitnesse-email:0.5.0,0.5.0,1574153748000,0,4,2,https://github.com/fhoeben/hsac-fitnesse-email.git,fhoeben,hsac-fitnesse-email,https://api.github.com/repos/fhoeben/hsac-fitnesse-email/languages,Java,True
92,322,232578,com.amazonaws:aws-java-sdk-swf-libraries,com.amazonaws:aws-java-sdk-swf-libraries:1.12.0,1.12.0,1649695899000,0,13,12,https://github.com/aws/aws-swf-flow-library.git,aws,aws-swf-flow-library,https://api.github.com/repos/aws/aws-swf-flow-library/languages,Java,True
93,329,313487,com.silicolife.textmining:processes,com.silicolife.textmining:processes:1.1.1,1.1.1,1571748168000,0,11,10,https://github.com/biotextmining/processes/tree/master,biotextmining,processes,https://api.github.com/repos/biotextmining/processes/languages,Java,True
94,330,234133,cz.alry:plantuml-maven-plugin,cz.alry:plantuml-maven-plugin:1.5.0,1.5.0,1539095988000,0,5,4,scm:git:https://github.com/AlesRybak/plantuml-maven-plugin,AlesRybak,plantuml-maven-plugin,https://api.github.com/repos/AlesRybak/plantuml-maven-plugin/languages,Java,True
95,340,41820,com.omvoid:jmqsc,com.omvoid:jmqsc:1.0.0,1.0.0,1601587316000,0,3,2,https://github.com/kkudin/jmqsc/tree/master,kkudin,jmqsc,https://api.github.com/repos/kkudin/jmqsc/languages,Java,True
96,342,98749,com.aimilin:excel-bean,com.aimilin:excel-bean:0.0.3,0.0.3,1586863954000,0,7,4,https://github.com/aimilin6688/excel-bean,aimilin6688,excel-bean,https://api.github.com/repos/aimilin6688/excel-bean/languages,Java,True
98,349,372472,com.charlyghislain.authenticator:authenticator-application-api,com.charlyghislain.authenticator:authenticator-application-api:1.0.7,1.0.7,1569793016000,0,4,1,https://github.com/cghislai/authenticator,cghislai,authenticator,https://api.github.com/repos/cghislai/authenticator/languages,Java,True
100,351,519799,systems.furdei:furdroid-floatingmenu,systems.furdei:furdroid-floatingmenu:1.1.1,1.1.1,1427732599000,0,5,3,https://github.com/furdei/furdroid-floatingmenu,furdei,furdroid-floatingmenu,https://api.github.com/repos/furdei/furdroid-floatingmenu/languages,Java,True
102,358,240688,cool.scx:scx-data-mysql-x,cool.scx:scx-data-mysql-x:3.0.2,3.0.2,1724498067000,0,4,2,https://github.com/scx567888/scx,scx567888,scx,https://api.github.com/repos/scx567888/scx/languages,Java,True
104,363,455518,com.googlecode.msidor.springframework.integration:spring-integration-toolkit,com.googlecode.msidor.springframework.integration:spring-integration-toolkit:1.0.0,1.0.0,1445458770000,0,3,2,https://github.com/maciejsidor/spring-integration-toolkit,maciejsidor,spring-integration-toolkit,https://api.github.com/repos/maciejsidor/spring-integration-toolkit/languages,Java,True
105,364,164978,com.hazelcast.jenkins.plugins:docker-custom-build-environment,com.hazelcast.jenkins.plugins:docker-custom-build-environment:2.1.0,2.1.0,1676310648000,0,13,3,https://github.com/hazelcast/jenkinsci-plugin-docker-custom-build-environment,hazelcast,jenkinsci-plugin-docker-custom-build-environment,https://api.github.com/repos/hazelcast/jenkinsci-plugin-docker-custom-build-environment/languages,Java,True
106,375,570719,io.github.Maple-pro:JMockK,io.github.Maple-pro:JMockK:1.4,1.4,1698309951000,0,5,4,https://github.com/Maple-pro/JMockK.git,Maple-pro,JMockK,https://api.github.com/repos/Maple-pro/JMockK/languages,Java,True
107,376,173819,media.pepperpot.tca:tomcat-jwt-authenticator,media.pepperpot.tca:tomcat-jwt-authenticator:2.0.1,2.0.1,1684529353000,0,6,1,https://github.com/minfrin/tomcat-jwt-authenticator/tags/tomcat-jwt-authenticator-2.0.1,minfrin,tomcat-jwt-authenticator,https://api.github.com/repos/minfrin/tomcat-jwt-authenticator/languages,Java,True
108,378,353626,rocks.coffeenet:frontpage-plugin-api,rocks.coffeenet:frontpage-plugin-api:0.8.0,0.8.0,1549190568000,0,2,1,https://github.com/coffeenet/coffeenet-frontpage-plugin-api,coffeenet,coffeenet-frontpage-plugin-api,https://api.github.com/repos/coffeenet/coffeenet-frontpage-plugin-api/languages,Java,True
111,390,407724,com.github.venkatramanm.swf-all:swf-maven-plugin,com.github.venkatramanm.swf-all:swf-maven-plugin:2.10,2.10,1647890613000,0,4,3,https://github.com/venkatramanm/swf-all/tree/master/swf-maven-plugin,venkatramanm,swf-all,https://api.github.com/repos/venkatramanm/swf-all/languages,Java,True
112,394,141343,com.simiacryptus:mindseye-test,com.simiacryptus:mindseye-test:2.1.0,2.1.0,1610515627000,0,16,16,https://github.com/SimiaCryptus/mindseye-test/,SimiaCryptus,mindseye-test,https://api.github.com/repos/SimiaCryptus/mindseye-test/languages,Java,True
113,396,158175,ch.rasc:wampspring,ch.rasc:wampspring:1.1.2,1.1.2,1512291314000,0,10,4,https://github.com/ralscha/wampspring.git,ralscha,wampspring,https://api.github.com/repos/ralscha/wampspring/languages,Java,True
114,403,325536,com.mikelduke:jtest-data,com.mikelduke:jtest-data:0.0.1,0.0.1,1530823973000,0,3,1,https://github.com/mikelduke/jtest-data,mikelduke,jtest-data,https://api.github.com/repos/mikelduke/jtest-data/languages,Java,True
117,414,49932,com.github.bartlomiej-gora:RPNLibrary,com.github.bartlomiej-gora:RPNLibrary:5.0.0,5.0.0,1624478114000,0,7,4,https://github.com/bartlomiej-gora/RPNLibrary/tree/master,bartlomiej-gora,RPNLibrary,https://api.github.com/repos/bartlomiej-gora/RPNLibrary/languages,Java,True
118,422,218462,be.idamediafoundry.sofa:mapper-api,be.idamediafoundry.sofa:mapper-api:2.0,2.0,1376861555000,0,4,1,scm:git:git@github.com:idamediafoundry/Mapper-API.git,idamediafoundry,Mapper-API,https://api.github.com/repos/idamediafoundry/Mapper-API/languages,Java,True
123,437,340466,se.sawano.eureka:legacy-registrar,se.sawano.eureka:legacy-registrar:0.0.6,0.0.6,1518081017000,0,7,6,git@github.com:sawano/eureka-legacy-registrar.git,sawano,eureka-legacy-registrar,https://api.github.com/repos/sawano/eureka-legacy-registrar/languages,Java,True
133,475,381520,io.github.2268143474:yuso-backend-test-fin,io.github.2268143474:yuso-backend-test-fin:0.0.1,0.0.1,1683776206000,0,6,4,https://github.com/2268143474/pine-search-backend,2268143474,pine-search-backend,https://api.github.com/repos/2268143474/pine-search-backend/languages,Java,True
134,478,425604,io.split.integrations.azure:azure-spring-cloud-feature-management,io.split.integrations.azure:azure-spring-cloud-feature-management:2.3.0,2.3.0,1648488126000,0,7,5,git@github.com:splitio/azure-sdk-for-java.git,splitio,azure-sdk-for-java,https://api.github.com/repos/splitio/azure-sdk-for-java/languages,Java,True
135,484,259222,io.probedock.rt.client:probedock-rt-itf,io.probedock.rt.client:probedock-rt-itf:0.1.0,0.1.0,1438933176000,0,11,4,git@github.com:probedock/probedock-rt-itf.git,probedock,probedock-rt-itf,https://api.github.com/repos/probedock/probedock-rt-itf/languages,Java,True
136,488,364890,cool.scx:scx-data-jdbc-mysql,cool.scx:scx-data-jdbc-mysql:2.5.5,2.5.5,1704800201000,6,6,2,https://github.com/scx567888/scx,scx567888,scx,https://api.github.com/repos/scx567888/scx/languages,Java,True
137,501,225924,io.ffit.carbon:i18n4j-parent,io.ffit.carbon:i18n4j-parent:1.1.0,1.1.0,1664010292000,0,1,1,https://github.com/ffitio/i18n4j,ffitio,i18n4j,https://api.github.com/repos/ffitio/i18n4j/languages,Java,True
140,507,295285,io.integon:wso2-mi-jwt-validator,io.integon:wso2-mi-jwt-validator:1.0.1,1.0.1,1679928167000,0,3,3,http://github.com/integonch/wso2-mi-jwt-validator/tree/master,integonch,wso2-mi-jwt-validator,https://api.github.com/repos/integonch/wso2-mi-jwt-validator/languages,Java,True
145,526,322906,com.blue-veery:spring-rest2ts-jax-rs,com.blue-veery:spring-rest2ts-jax-rs:1.5.1,1.5.1,1661124865000,0,4,3,https://github.com/blue-veery-gmbh/spring-rest-2-ts,blue-veery-gmbh,spring-rest-2-ts,https://api.github.com/repos/blue-veery-gmbh/spring-rest-2-ts/languages,Java,True
147,531,480148,info.ronjenkins:smart-reactor-maven-extension,info.ronjenkins:smart-reactor-maven-extension:0.1.4,0.1.4,1457150962000,0,8,1,https://github.com/rjenkinsjr/smart-reactor-maven-extension,rjenkinsjr,smart-reactor-maven-extension,https://api.github.com/repos/rjenkinsjr/smart-reactor-maven-extension/languages,Java,True
153,547,80319,com.varunrajput:vscraper,com.varunrajput:vscraper:1.1.0,1.1.0,1462496635000,0,4,4,https://github.com/varunrajput/vscraper.git,varunrajput,vscraper,https://api.github.com/repos/varunrajput/vscraper/languages,Java,True
155,555,427369,org.ibboost.orqa:orqa-maven-plugin,org.ibboost.orqa:orqa-maven-plugin:1.0.0,1.0.0,1495550654000,0,2,1,https://github.com/ibboost/orqa-maven-plugin,ibboost,orqa-maven-plugin,https://api.github.com/repos/ibboost/orqa-maven-plugin/languages,Java,True
157,558,381154,com.rackspace.apache:xerces2-xsd11,com.rackspace.apache:xerces2-xsd11:2.11.2,2.11.2,1381785044000,0,4,3,https://github.com/sharwell/xerces2-j/tree/rackspace-master-xsd11,sharwell,xerces2-j,https://api.github.com/repos/sharwell/xerces2-j/languages,Java,True
159,568,35625,com.github.vantonov1:basalt,com.github.vantonov1:basalt:1.0,1.0,1533905481000,0,5,3,https://github.com/vantonov1/basalt,vantonov1,basalt,https://api.github.com/repos/vantonov1/basalt/languages,Java,True
161,576,438158,com.github.weibin268:my-data-starter,com.github.weibin268:my-data-starter:1.1.2,1.1.2,1588312048000,0,4,4,https://github.com/weibin268/my-data,weibin268,my-data,https://api.github.com/repos/weibin268/my-data/languages,Java,True
163,582,275607,org.coldis.library:persistence,org.coldis.library:persistence:2.0.32,2.0.32,1717455944000,0,27,18,https://github.com/coldis-org/library-java-persistence,coldis-org,library-java-persistence,https://api.github.com/repos/coldis-org/library-java-persistence/languages,Java,True
164,583,494138,com.github.youziku:youziku.service.sdk,com.github.youziku:youziku.service.sdk:1.0,1.0,1530844465000,0,4,4,https://github.com/youziku/youziku-sdk-java,youziku,youziku-sdk-java,https://api.github.com/repos/youziku/youziku-sdk-java/languages,Java,True
165,585,284531,com.fiestacabin.dropwizard.guice:dropwizard-guice,com.fiestacabin.dropwizard.guice:dropwizard-guice:0.7.1,0.7.1,1414090910000,0,5,3,git@github.com:jaredstehler/dropwizard-guice.git,jaredstehler,dropwizard-guice,https://api.github.com/repos/jaredstehler/dropwizard-guice/languages,Java,True
167,592,51266,com.github.lajospolya:spotify-api-wrapper,com.github.lajospolya:spotify-api-wrapper:3.0.RELEASE,3.0.RELEASE,1587936868000,0,6,3,https://github.com/LajosPolya/Spotify-API-Wrapper,LajosPolya,Spotify-API-Wrapper,https://api.github.com/repos/LajosPolya/Spotify-API-Wrapper/languages,Java,True
168,597,614711,com.github.waffle:waffle-tomcat11,com.github.waffle:waffle-tomcat11:3.4.0,3.4.0,1715041658000,1,22,3,https://github.com/Waffle/waffle,Waffle,waffle,https://api.github.com/repos/Waffle/waffle/languages,Java,True
174,613,283056,io.axway.iron:iron-spi-consul,io.axway.iron:iron-spi-consul:0.1.2,0.1.2,1501676657000,0,4,3,https://github.com/Axway/iron/iron-spi-consul,Axway,iron,https://api.github.com/repos/Axway/iron/languages,Java,True
176,618,11682,com.jwebmp.plugins.jquery:malihu-custom-scrollbar,com.jwebmp.plugins.jquery:malihu-custom-scrollbar:1.2.2.1-jre17,1.2.2.1-jre17,1644510140000,0,1,1,https://github.com/GedMarc/JWebMP-MalihuCustomScrollBar.git,GedMarc,JWebMP-MalihuCustomScrollBar,https://api.github.com/repos/GedMarc/JWebMP-MalihuCustomScrollBar/languages,Java,True
178,622,172479,com.github.charlemaznable:bunny-client,com.github.charlemaznable:bunny-client:2022.0.7,2022.0.7,1679381061000,0,20,5,https://github.com/CharLemAznable/bunny-client,CharLemAznable,bunny-client,https://api.github.com/repos/CharLemAznable/bunny-client/languages,Java,True
180,630,47639,com.github.yuanmomo:mybatis-generator-plugin,com.github.yuanmomo:mybatis-generator-plugin:1.0.13,1.0.13,1626426911000,0,6,6,https://github.com/yuanmomo/mybatis-generator-plugin,yuanmomo,mybatis-generator-plugin,https://api.github.com/repos/yuanmomo/mybatis-generator-plugin/languages,Java,True
181,631,176259,pro.auditofthings:aot-sdk-java,pro.auditofthings:aot-sdk-java:0.1.0,0.1.0,1476271464000,0,2,2,https://github.com/aot-pro/aot-sdk-java.git,aot-pro,aot-sdk-java,https://api.github.com/repos/aot-pro/aot-sdk-java/languages,Java,True
184,644,33419,org.neo4j:neo4j-advanced,org.neo4j:neo4j-advanced:2.3.12,2.3.12,1513085181000,0,2,2,https://github.com/neo4j/neo4j/tree/master/advanced/neo4j-advanced,neo4j,neo4j,https://api.github.com/repos/neo4j/neo4j/languages,Java,True
185,645,553314,com.aoindustries:aoserv-cluster,com.aoindustries:aoserv-cluster:1.85.0,1.85.0,1627143293000,0,1,1,https://github.com/aoindustries/aoserv-cluster,aoindustries,aoserv-cluster,https://api.github.com/repos/aoindustries/aoserv-cluster/languages,Java,True
186,648,329774,com.github.usc:wechat-mp-sdk,com.github.usc:wechat-mp-sdk:1.0.0,1.0.0,1372694723000,0,3,2,https://github.com/usc/wechat-mp-sdk,usc,wechat-mp-sdk,https://api.github.com/repos/usc/wechat-mp-sdk/languages,Java,True
