,artifact_id,release_id,version,timestamp,popularity,scm_url
221345,info.debatty:java-spamsum,info.debatty:java-spamsum:0.2,0.2,1470908773000,3,git@github.com:tdebatty/java-spamsum.git
21740,com.sobot.chat:sobotsdk_x,com.sobot.chat:sobotsdk_x:4.1.8.2,4.1.8.2,1724293076000,0,https://github.com/ZCSDK/sobotsdk_x/master
113826,com.github.jchanghong:parent,com.github.jchanghong:parent:2.3.4,2.3.4,1603376803000,0,git@github.com:jchanghong/utils.git
314007,me.nathanfallet.makth:makth-linuxarm64,me.nathanfallet.makth:makth-linuxarm64:1.3.0,1.3.0,1719033781000,2,https://github.com/nathanfallet/makth.git
347856,uk.gov.nationalarchives:tdr-schema-utils_2.13,uk.gov.nationalarchives:tdr-schema-utils_2.13:0.0.50,0.0.50,1724422406000,0,https://github.com/nationalarchives/tdr-metadata-validation
154991,org.jetbrains.lets-plot:canvas-js,org.jetbrains.lets-plot:canvas-js:4.4.1,4.4.1,1724258214000,0,https://github.com/JetBrains/lets-plot
204634,org.everit.osgi.bundles:org.everit.osgi.bundles.org.json,org.everit.osgi.bundles:org.everit.osgi.bundles.org.json:1.0.0-v20140107,1.0.0-v20140107,1392418939000,0,https://github.com/douglascrockford/JSON-java.git
179270,com.github.blackfizz:eazegraph,com.github.blackfizz:eazegraph:1.2.3,1.2.3,1426247914000,0,https://github.com/blackfizz/EazeGraph
253755,org.activecomponents.jadex:jadex-serialization-json,org.activecomponents.jadex:jadex-serialization-json:4.0.267,4.0.267,1662633650000,0,https://github.com/actoron/jadex.git
67280,com.github.daishy:range-slider,com.github.daishy:range-slider:1.0.1,1.0.1,1517397581000,0,git://github.com/daishy/range-slider.git
322990,com.switchvov:magicrpc-core,com.switchvov:magicrpc-core:0.0.6,0.0.6,1716622022000,0,https://github.com/switch-vov/magicrpc/magicrpc-core
141974,com.google.android.horologist:horologist-health-composables,com.google.android.horologist:horologist-health-composables:0.6.18,0.6.18,1724156945000,0,https://github.com/google/horologist/
139286,org.jqassistant.plugin:jqassistant-xmi-plugin,org.jqassistant.plugin:jqassistant-xmi-plugin:3.0.0-M1,3.0.0-M1,1722009519000,0,https://github.com/jqassistant-plugin/jqassistant-xmi-plugin
346470,io.github.hanhuoer:maa-framework-java-parent,io.github.hanhuoer:maa-framework-java-parent:1.0.3,1.0.3,1722777802000,0,https://github.com/hanhuoer/maa-framework-java
326588,io.github.boswelja.datatypes:bitrate-jvm,io.github.boswelja.datatypes:bitrate-jvm:1.0.0,1.0.0,1712457191000,0,https://github.com/boswelja/kotlin-datatypes
290747,io.arrow-kt:arrow-meta-prelude-tvossimulatorarm64,io.arrow-kt:arrow-meta-prelude-tvossimulatorarm64:2.0.0-alpha.6,2.0.0-alpha.6,1653565039000,0,https://github.com/arrow-kt/arrow-proofs/
193960,com.freeletics.khonshu:state-machine-testing,com.freeletics.khonshu:state-machine-testing:0.28.3,0.28.3,1722857005000,0,https://github.com/freeletics/khonshu/
128139,com.github.andyglow:json-facade_2.11,com.github.andyglow:json-facade_2.11:0.1.1,0.1.1,1549861735000,0,https://github.com/andyglow/json-facade
352382,io.github.railian.data:data-result-combine,io.github.railian.data:data-result-combine:0.3.0-alpha06,0.3.0-alpha06,1722206500000,3,https://github.com/Railian/data-result
249938,org.webjars.npm:react-mdl,org.webjars.npm:react-mdl:1.9.0,1.9.0,1487711641000,0,https://github.com/react-mdl/react-mdl
333219,eu.wdaqua.qanary:qa.pipeline,eu.wdaqua.qanary:qa.pipeline:3.11.0,3.11.0,1724146595000,0,https://github.com/WDAqua/Qanary
288653,io.github.merlinths:kava-annotations-js,io.github.merlinths:kava-annotations-js:1.0.4,1.0.4,1676641115000,0,https://github.com/MerlinTHS/Kava/
314697,top.fastdroid.erupt-x:erupt-tpl-ui.element-plus,top.fastdroid.erupt-x:erupt-tpl-ui.element-plus:1.12.13-springboot2.7.17-r1,1.12.13-springboot2.7.17-r1,1717383048000,0,git@github.com:erupts/erupt.git
207955,com.github.scalaprops:scalaprops-gen_sjs1.0.0-M1_2.12,com.github.scalaprops:scalaprops-gen_sjs1.0.0-M1_2.12:0.5.0,0.5.0,1499090682000,0,git@github.com:scalaprops/scalaprops.git
179281,io.github.etspaceman:kinesis4cats-kinesis-client_2.13,io.github.etspaceman:kinesis4cats-kinesis-client_2.13:0.0.30,0.0.30,1724083209000,3,https://github.com/etspaceman/kinesis4cats
315155,ca.ace-design-lab:island,ca.ace-design-lab:island:3.0,3.0,1705790167000,0,https://github.com/ace-design/island
332721,com.buschmais.jqassistant:parent,com.buschmais.jqassistant:parent:2.5.0-RC2,2.5.0-RC2,1724345760000,0,https://github.com/jqassistant/jqassistant/
110003,io.circe:circe-numbers-testing_2.13,io.circe:circe-numbers-testing_2.13:0.14.9,0.14.9,1719840317000,2,https://github.com/circe/circe
345117,co.touchlab.skie:runtime-kotlin-2.0.0-watchosx64,co.touchlab.skie:runtime-kotlin-2.0.0-watchosx64:0.9.0-RC.3,0.9.0-RC.3,1724780464000,0,https://github.com/touchlab/SKIE
78520,io.github.libktx:ktx-log,io.github.libktx:ktx-log:1.12.1-rc2,1.12.1-rc2,1724570527000,0,https://github.com/libktx/ktx/
248119,com.typesafe.akka:akka-contrib_2.10.0-RC2,com.typesafe.akka:akka-contrib_2.10.0-RC2:2.1.0-RC2,2.1.0-RC2,1352379525000,0,git://github.com/akka/akka.git
140573,io.github.vigoo:zio-aws-support_3,io.github.vigoo:zio-aws-support_3:4.17.280.4,4.17.280.4,1664401665000,0,https://github.com/vigoo/zio-aws
102634,io.kotest.extensions:kotest-extensions-testcontainers-kafka,io.kotest.extensions:kotest-extensions-testcontainers-kafka:2.0.2,2.0.2,1687881040000,0,http://www.github.com/kotest/kotest-extensions-testcontainers
257280,com.github.liuche51:easyTask-core,com.github.liuche51:easyTask-core:1.0.5,1.0.5,1559639560000,0,https://github.com/liuche51/easyTask.git
117799,org.ekrich:sconfig_sjs1_3,org.ekrich:sconfig_sjs1_3:1.7.0,1.7.0,1713285222000,1,https://github.com/ekrich/sconfig
154171,com.github.j5ik2o:pekko-persistence-dynamodb-base-v1_2.12,com.github.j5ik2o:pekko-persistence-dynamodb-base-v1_2.12:1.0.42,1.0.42,1695601132000,3,https://github.com/j5ik2o/pekko-persistence-dynamodb
303362,com.hendraanggrian.material:collapsingtoolbarlayout-subtitle,com.hendraanggrian.material:collapsingtoolbarlayout-subtitle:1.5.0,1.5.0,1656795806000,0,https://github.com/hendraanggrian/collapsingtoolbarlayout-subtitle/
113702,org.openrndr.extra:orx-triangulation-js,org.openrndr.extra:orx-triangulation-js:0.4.5-alpha5,0.4.5-alpha5,1721300436000,1,https://github.com/openrndr/orx
183776,org.webjars.bower:date-fns,org.webjars.bower:date-fns:1.30.1,1.30.1,1558490875000,0,https://github.com/date-fns/date-fns
